지점,지점명,일시,평균기온(°C),평균 이슬점온도(°C),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),가조시간(hr),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C)
108,서울,2013-06-23,22.9,16.7,19.1,996.6,1006.4,14.8,26.6,17.9,26.6
108,서울,2013-06-24,23.5,16.5,18.7,996.2,1006,14.8,29.2,17.4,26.7
108,서울,2013-06-25,25.1,16.2,18.4,995.6,1005.3,14.8,29.5,17.5,27.8
108,서울,2013-06-26,24.5,15.9,18.1,992.7,1002.4,14.8,29.7,19.1,28.2
108,서울,2013-06-27,25.1,17,19.4,994.6,1004.3,14.8,31,17,29.2
108,서울,2013-06-28,25.5,16.9,19.3,996.5,1006.1,14.8,30.5,19.7,29.1
108,서울,2013-06-29,27.2,16.8,19.2,1000.3,1010,14.7,33.3,17.3,30.5
108,서울,2013-06-30,27.7,19,22,1000.3,1009.9,14.7,29.5,18.9,29.5
108,서울,2013-07-01,27.1,17.9,20.6,998.1,1007.8,14.7,32.6,19.7,30.5
108,서울,2013-07-02,24.3,21,24.9,989.9,999.6,14.7,23.9,21.1,24.7
108,서울,2013-07-03,25.2,18.7,21.6,989.4,999,14.7,28.3,20.3,27.9
108,서울,2013-07-04,24.9,22,26.4,988,997.6,14.7,25,22.9,25.2
108,서울,2013-07-05,25.6,20.1,23.6,987.8,997.4,14.7,27.9,22,27.6
108,서울,2013-07-06,25.2,19.6,22.9,996,1005.7,14.7,28.4,20.6,28.4
108,서울,2013-07-07,24.9,20.8,24.6,997.8,1007.5,14.6,25.6,19.1,25.6
108,서울,2013-07-08,24.3,22.2,26.8,996.8,1006.5,14.6,24.6,21.6,24.7
108,서울,2013-07-09,24.5,22.2,26.8,997.1,1006.8,14.6,25.1,23.7,25.2
108,서울,2013-07-10,25.3,22.1,26.6,996.1,1005.8,14.6,25,24.1,25.2
108,서울,2013-07-11,24.6,22,26.5,997.4,1007.1,14.6,24.4,23.8,24.5
108,서울,2013-07-12,23.6,21.5,25.7,997.8,1007.5,14.6,23.7,22.8,23.8
108,서울,2013-07-13,24.2,22.4,27.1,1000.8,1010.6,14.6,24.8,22.6,24.7
108,서울,2013-07-14,24.1,22.5,27.2,1001.4,1011.2,14.5,24.8,23.4,24.8
108,서울,2013-07-15,26.5,22.6,27.5,1000.6,1010.3,14.5,26.5,24,26.5
108,서울,2013-07-16,26.9,20.9,24.8,997.4,1007,14.5,25.4,23.7,25.5
108,서울,2013-07-17,24.2,22.2,26.8,998.4,1008.1,14.5,25.2,23.4,25.3
108,서울,2013-07-18,25.1,22.4,27.1,1000.1,1009.8,14.5,25.2,23.7,25.3
108,서울,2013-07-19,26.8,21.1,25,999.6,1009.3,14.4,27.4,20.8,27.1
108,서울,2013-07-20,27,21.4,25.6,997.9,1007.6,14.4,26.3,22.2,26.7
108,서울,2013-07-21,26.8,22.7,27.5,996.3,1006,14.4,26.7,24.5,26.7
108,서울,2013-07-22,26.4,22.7,27.6,997.9,1007.6,14.4,26.5,24.2,26.7
108,서울,2013-07-23,25.7,23.3,28.6,993.9,1003.6,14.3,25.3,24.2,25.5
108,서울,2013-07-24,24.7,20.6,24.3,990.3,999.9,14.3,25.7,21.2,26
108,서울,2013-07-25,26,20.2,23.7,991.7,1001.3,14.3,27,21.5,27.5
108,서울,2013-07-26,26.5,20.5,24.1,993.4,1003,14.3,30.2,21.6,29.2
108,서울,2013-07-27,26.2,19.5,22.7,995.2,1004.8,14.2,28.8,21.3,28.9
108,서울,2013-07-28,25.3,22.6,27.6,993.4,1003,14.2,24.9,23.7,25.4
108,서울,2013-07-29,26.5,23,28.2,991.6,1001.2,14.2,27.5,22.4,27.8
108,서울,2013-07-30,26.3,20.9,24.8,991.7,1001.3,14.2,27,22.2,27.2
108,서울,2013-07-31,26.4,21.5,25.6,991.7,1001.3,14.1,27.9,23.5,28.1
108,서울,2013-08-01,28,21.1,25.1,996.7,1006.3,14.1,28.2,23.6,28.6
108,서울,2013-08-02,27.4,23.6,29.2,1000.4,1010.1,14.1,27.4,23.8,27.5
108,서울,2013-08-03,28.9,23.2,28.5,999,1008.6,14,29.4,25.4,29.3
108,서울,2013-08-04,28.3,23.6,29.2,994.5,1004.1,14,29.3,25.2,28.8
108,서울,2013-08-05,27.7,23.6,29.1,993.2,1002.8,14,29.5,23.6,28.9
108,서울,2013-08-06,26.4,22.7,27.7,996.3,1005.9,13.9,26.2,22.1,26.6
108,서울,2013-08-07,28.7,23.3,28.7,996.8,1006.4,13.9,28.8,23.8,28.6
108,서울,2013-08-08,29.3,24,29.8,994.7,1004.2,13.9,29,25.8,28.9
108,서울,2013-08-09,29.2,25.3,32.2,994.4,1004,13.8,28.8,27.1,28.7
108,서울,2013-08-10,28,24.6,31,998.5,1008.1,13.8,28.2,23,28.3
108,서울,2013-08-11,28.7,22.7,27.7,1000.8,1010.5,13.8,30.1,21.9,29.4
108,서울,2013-08-12,29.3,22.9,27.9,1000.7,1010.3,13.7,30.6,25.1,29.9
108,서울,2013-08-13,29,21.5,25.7,1000.5,1010.1,13.7,32.6,24,30.5
108,서울,2013-08-14,28.6,21.6,25.9,1000.6,1010.3,13.7,30.8,23.8,29.8
108,서울,2013-08-15,28.7,22.9,27.9,999.4,1009,13.6,31.4,22.9,30.3
108,서울,2013-08-16,28.7,22.9,28,996.5,1006.1,13.6,30,24.3,29.3
108,서울,2013-08-17,28.7,22.4,27.2,994.8,1004.3,13.6,31,25.9,29.6
108,서울,2013-08-18,28.3,22.7,27.6,995.2,1004.8,13.5,29.8,25.3,29.5
108,서울,2013-08-19,28.2,21.3,25.6,996.2,1005.8,13.5,30.7,22,29.7
